@RELATION lol

@ATTRIBUTE match_id STRING
@ATTRIBUTE summoner_id STRING
@ATTRIBUTE champion_id STRING
@ATTRIBUTE tier {UNRANKED,BRONZE,SILVER,GOLD,PLATINUM,DIAMOND,MASTER}
@ATTRIBUTE lane {TOP,JUNGLE,MIDDLE,BOTTOM}
@ATTRIBUTE role {NONE,SOLO,DUO,DUO_CARRY,DUO_SUPPORT}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE deaths NUMERIC
@ATTRIBUTE assists NUMERIC
@ATTRIBUTE gold_earned NUMERIC
@ATTRIBUTE gold_spent NUMERIC
@ATTRIBUTE dmg NUMERIC
@ATTRIBUTE dmg_champs NUMERIC
@ATTRIBUTE dmg_taken NUMERIC
@ATTRIBUTE dmg_healed NUMERIC
@ATTRIBUTE cc NUMERIC
@ATTRIBUTE wards_placed NUMERIC
@ATTRIBUTE wards_killed NUMERIC
@ATTRIBUTE win {True,False}

@DATA
1863886583,24356382,22,GOLD,BOTTOM,DUO_CARRY,1,6,4,8494,8145,85249,16591,15110,1646,1271,3,1,False
1863886583,45636386,15,GOLD,BOTTOM,DUO_CARRY,8,1,8,12719,10755,163171,17916,15064,1469,278,10,0,True
1863886583,42961442,1,GOLD,MIDDLE,SOLO,10,2,7,11968,10525,122380,18567,10665,2121,132,9,0,True
1863886583,37180733,120,SILVER,TOP,SOLO,4,0,10,11744,10793,142580,10791,20668,5921,52,11,2,True
1863886583,34220527,201,GOLD,BOTTOM,DUO_SUPPORT,1,3,18,8436,7150,22193,6211,23002,2449,557,12,0,True
1863886583,32193413,5,GOLD,JUNGLE,NONE,8,4,15,11825,10945,127503,23902,29142,8056,760,9,4,True
1863909462,43258937,421,GOLD,JUNGLE,NONE,3,5,19,12296,11340,158167,15497,47631,19146,592,3,0,True
1863909462,537118,80,GOLD,TOP,SOLO,9,9,8,11000,10250,90422,21236,27979,1568,40,0,0,True
1863909462,23553674,96,GOLD,MIDDLE,SOLO,15,5,12,14879,13865,191211,41267,16503,1263,1033,3,0,True
1863909462,50185869,18,SILVER,BOTTOM,DUO_CARRY,12,3,16,15428,14620,210084,28373,19839,2200,30,9,1,True
1863909462,35603456,53,GOLD,BOTTOM,DUO_SUPPORT,7,4,21,11571,10505,23466,11965,14713,2094,100,18,4,True
1863909462,67244146,13,UNRANKED,TOP,SOLO,0,11,6,9068,7660,103208,14732,31218,344,379,2,0,False
1863909462,518715,412,PLATINUM,JUNGLE,NONE,0,13,13,6618,6190,14342,8132,32054,2651,95,17,0,False
1863909462,45293073,119,SILVER,BOTTOM,SOLO,9,9,5,13498,12610,164248,23826,23391,1950,84,6,2,False
1863909462,45770461,1,SILVER,MIDDLE,SOLO,9,4,10,10968,10720,89699,21834,15906,739,137,11,1,False
1863909462,46992599,111,SILVER,JUNGLE,NONE,7,9,10,10684,10170,116216,16072,33310,796,1191,10,1,False
1864137141,46343692,105,SILVER,TOP,SOLO,6,6,4,12073,11878,139570,19094,31632,2275,373,15,0,False
1864137141,28705555,133,SILVER,BOTTOM,DUO_CARRY,1,6,4,11055,10635,152151,11862,19400,2413,192,5,0,False
1864137141,45770461,25,SILVER,MIDDLE,SOLO,4,4,4,11021,10375,126391,19259,25564,378,130,16,1,False
1864137141,48103636,201,SILVER,BOTTOM,DUO_SUPPORT,1,4,5,7789,7680,43212,8975,30182,6299,814,30,7,False
1864137141,39805831,102,GOLD,JUNGLE,NONE,3,5,6,12480,11720,237788,15491,36193,1880,670,14,1,False
1864137141,31779779,24,BRONZE,TOP,SOLO,5,4,4,12757,12348,174186,19009,23961,2856,485,14,1,True
1864137141,44674839,154,SILVER,BOTTOM,DUO_SUPPORT,2,4,16,9263,8590,57325,17753,20469,14796,489,23,0,True
1864137141,20568781,56,BRONZE,JUNGLE,NONE,6,2,9,11934,10900,142914,11629,29109,4327,423,6,3,True
1864137141,24288425,81,GOLD,BOTTOM,DUO_CARRY,6,1,12,13711,13375,171344,23340,17749,2688,381,8,0,True
1864137141,51485108,112,SILVER,MIDDLE,SOLO,6,4,10,14781,13095,210294,39960,16930,989,67,14,0,True
1864820112,20267048,432,GOLD,BOTTOM,DUO_SUPPORT,0,7,29,11439,10725,28394,10295,25821,3236,260,27,3,True
1864820112,35345989,429,SILVER,BOTTOM,DUO_CARRY,11,7,10,14579,13330,147711,21028,27945,3803,424,13,2,True
1864820112,30633054,268,GOLD,MIDDLE,SOLO,13,13,19,15561,13390,166877,39161,28100,1812,225,6,1,True
1864820112,38040015,41,GOLD,TOP,SOLO,17,7,14,17862,16931,170271,47061,46944,14606,2188,8,0,True
1864820112,24162594,113,GOLD,JUNGLE,NONE,6,12,25,13908,12040,137491,16700,48493,1431,1056,1,2,True
1864820112,53094467,157,SILVER,MIDDLE,SOLO,5,10,16,13856,13495,181530,25790,30494,2810,221,8,3,False
1864820112,19521284,8,GOLD,TOP,SOLO,14,8,11,18112,16170,279854,52035,50503,22535,1062,6,2,False
1864820112,30061184,15,GOLD,BOTTOM,DUO_CARRY,5,9,18,14175,12445,181607,20119,24828,5550,1,8,2,False
1864820112,45770461,1,SILVER,BOTTOM,DUO_SUPPORT,14,7,10,13365,13744,47785,23757,20738,140,231,36,2,False
1864820112,20824947,54,SILVER,JUNGLE,NONE,7,13,20,13821,13200,132489,21561,39089,1189,1566,8,6,False
1864865403,45004643,120,GOLD,TOP,SOLO,8,7,3,11585,11295,145179,18274,42421,13520,319,3,1,False
1864865403,23913359,5,UNRANKED,JUNGLE,NONE,5,10,9,10927,10135,143200,17142,37327,6154,703,7,9,False
1864865403,45770461,1,SILVER,MIDDLE,SOLO,4,6,5,9445,8955,104739,16159,14980,497,102,9,1,False
1864865403,24733842,22,SILVER,BOTTOM,DUO_CARRY,8,7,8,11366,10945,96302,16029,18159,2444,1292,4,2,False
1864865403,43269731,89,SILVER,BOTTOM,DUO_SUPPORT,1,7,12,8661,8195,51798,7954,31508,5463,97,20,0,False
1864865403,44664260,76,SILVER,MIDDLE,SOLO,5,9,6,12405,11745,171217,18780,25036,7834,10,4,0,True
1864865403,39129315,254,GOLD,JUNGLE,NONE,7,4,11,12402,11540,139492,9682,26236,2480,351,4,2,True
1864865403,40960382,37,GOLD,BOTTOM,DUO_SUPPORT,1,3,23,12111,11450,38570,14464,14072,5968,64,29,2,True
