@RELATION lol_synergy

@ATTRIBUTE champion1 {MonkeyKing,Jax,Shaco,Warwick,Nidalee,Zyra,Brand,Rammus,Corki,Braum,Anivia,Tryndamere,MissFortune,Blitzcrank,Yorick,Xerath,Sivir,Riven,Orianna,Gangplank,Malphite,Poppy,Karthus,Jayce,Nunu,Trundle,Sejuani,Graves,Morgana,Gnar,Lux,Shyvana,Renekton,Fiora,Jinx,Kalista,Fizz,Kassadin,Sona,Irelia,Viktor,Cassiopeia,Maokai,Thresh,Kayle,Hecarim,Khazix,Olaf,Ziggs,Syndra,DrMundo,Karma,Annie,Akali,Leona,Yasuo,Kennen,Rengar,Ryze,Shen,Zac,Pantheon,Swain,Bard,Sion,Vayne,Nasus,TwistedFate,Chogath,Udyr,Lucian,Volibear,Caitlyn,Darius,Nocturne,Zilean,Azir,Rumble,Skarner,Teemo,Urgot,Amumu,Galio,Heimerdinger,Ashe,Velkoz,Singed,Varus,Twitch,Garen,Diana,MasterYi,Elise,Alistar,Katarina,Ekko,Mordekaiser,KogMaw,Aatrox,Draven,FiddleSticks,Talon,XinZhao,LeeSin,Taric,Malzahar,Lissandra,Tristana,RekSai,Vladimir,JarvanIV,Nami,Soraka,Veigar,Janna,Nautilus,Evelynn,Gragas,Zed,Vi,Lulu,Ahri,Quinn,Leblanc,Ezreal}
@ATTRIBUTE champion2 {MonkeyKing,Jax,Shaco,Warwick,Nidalee,Zyra,Brand,Rammus,Corki,Braum,Anivia,Tryndamere,MissFortune,Blitzcrank,Yorick,Xerath,Sivir,Riven,Orianna,Gangplank,Malphite,Poppy,Karthus,Jayce,Nunu,Trundle,Sejuani,Graves,Morgana,Gnar,Lux,Shyvana,Renekton,Fiora,Jinx,Kalista,Fizz,Kassadin,Sona,Irelia,Viktor,Cassiopeia,Maokai,Thresh,Kayle,Hecarim,Khazix,Olaf,Ziggs,Syndra,DrMundo,Karma,Annie,Akali,Leona,Yasuo,Kennen,Rengar,Ryze,Shen,Zac,Pantheon,Swain,Bard,Sion,Vayne,Nasus,TwistedFate,Chogath,Udyr,Lucian,Volibear,Caitlyn,Darius,Nocturne,Zilean,Azir,Rumble,Skarner,Teemo,Urgot,Amumu,Galio,Heimerdinger,Ashe,Velkoz,Singed,Varus,Twitch,Garen,Diana,MasterYi,Elise,Alistar,Katarina,Ekko,Mordekaiser,KogMaw,Aatrox,Draven,FiddleSticks,Talon,XinZhao,LeeSin,Taric,Malzahar,Lissandra,Tristana,RekSai,Vladimir,JarvanIV,Nami,Soraka,Veigar,Janna,Nautilus,Evelynn,Gragas,Zed,Vi,Lulu,Ahri,Quinn,Leblanc,Ezreal}
@ATTRIBUTE victory {WIN,LOSS}

@DATA
Poppy,Hecarim,LOSS
Poppy,Xerath,LOSS
Poppy,Tristana,LOSS
Poppy,Morgana,LOSS
Hecarim,Poppy,LOSS
Hecarim,Xerath,LOSS
Hecarim,Tristana,LOSS
Hecarim,Morgana,LOSS
Xerath,Poppy,LOSS
Xerath,Hecarim,LOSS
Xerath,Tristana,LOSS
Xerath,Morgana,LOSS
Tristana,Poppy,LOSS
Tristana,Hecarim,LOSS
Tristana,Xerath,LOSS
Tristana,Morgana,LOSS
Morgana,Poppy,LOSS
Morgana,Hecarim,LOSS
Morgana,Xerath,LOSS
Morgana,Tristana,LOSS
Irelia,Volibear,WIN
Irelia,Viktor,WIN
Irelia,Sivir,WIN
Irelia,Nami,WIN
Volibear,Irelia,WIN
Volibear,Viktor,WIN
Volibear,Sivir,WIN
Volibear,Nami,WIN
Viktor,Irelia,WIN
Viktor,Volibear,WIN
Viktor,Sivir,WIN
Viktor,Nami,WIN
Sivir,Irelia,WIN
Sivir,Volibear,WIN
Sivir,Viktor,WIN
Sivir,Nami,WIN
Nami,Irelia,WIN
Nami,Volibear,WIN
Nami,Viktor,WIN
Nami,Sivir,WIN
Darius,Vi,LOSS
Darius,Ahri,LOSS
Darius,Caitlyn,LOSS
Darius,Leona,LOSS
Vi,Darius,LOSS
Vi,Ahri,LOSS
Vi,Caitlyn,LOSS
Vi,Leona,LOSS
Ahri,Darius,LOSS
Ahri,Vi,LOSS
Ahri,Caitlyn,LOSS
Ahri,Leona,LOSS
Caitlyn,Darius,LOSS
Caitlyn,Vi,LOSS
Caitlyn,Ahri,LOSS
Caitlyn,Leona,LOSS
Leona,Darius,LOSS
Leona,Vi,LOSS
Leona,Ahri,LOSS
Leona,Caitlyn,LOSS
Lissandra,Amumu,WIN
Lissandra,Brand,WIN
Lissandra,Caitlyn,WIN
Lissandra,Thresh,WIN
Amumu,Lissandra,WIN
Amumu,Brand,WIN
Amumu,Caitlyn,WIN
Amumu,Thresh,WIN
Brand,Lissandra,WIN
Brand,Amumu,WIN
Brand,Caitlyn,WIN
Brand,Thresh,WIN
Caitlyn,Lissandra,WIN
Caitlyn,Amumu,WIN
Caitlyn,Brand,WIN
Caitlyn,Thresh,WIN
Thresh,Lissandra,WIN
Thresh,Amumu,WIN
Thresh,Brand,WIN
Thresh,Caitlyn,WIN
Gnar,FiddleSticks,LOSS
Gnar,KogMaw,LOSS
Gnar,Tristana,LOSS
Gnar,Soraka,LOSS
FiddleSticks,Gnar,LOSS
FiddleSticks,KogMaw,LOSS
FiddleSticks,Tristana,LOSS
FiddleSticks,Soraka,LOSS
KogMaw,Gnar,LOSS
KogMaw,FiddleSticks,LOSS
KogMaw,Tristana,LOSS
KogMaw,Soraka,LOSS
Tristana,Gnar,LOSS
Tristana,FiddleSticks,LOSS
Tristana,KogMaw,LOSS
Tristana,Soraka,LOSS
Soraka,Gnar,LOSS
Soraka,FiddleSticks,LOSS
Soraka,KogMaw,LOSS
Soraka,Tristana,LOSS
Garen,Shaco,WIN
Garen,Fizz,WIN
Garen,Vayne,WIN
Garen,Nami,WIN
Shaco,Garen,WIN
Shaco,Fizz,WIN
Shaco,Vayne,WIN
Shaco,Nami,WIN
Fizz,Garen,WIN
Fizz,Shaco,WIN
Fizz,Vayne,WIN
Fizz,Nami,WIN
Vayne,Garen,WIN
Vayne,Shaco,WIN
Vayne,Fizz,WIN
Vayne,Nami,WIN
Nami,Garen,WIN
Nami,Shaco,WIN
Nami,Fizz,WIN
Nami,Vayne,WIN
Gnar,Sejuani,LOSS
Gnar,Malzahar,LOSS
Gnar,Caitlyn,LOSS
Gnar,Sona,LOSS
Sejuani,Gnar,LOSS
Sejuani,Malzahar,LOSS
Sejuani,Caitlyn,LOSS
Sejuani,Sona,LOSS
Malzahar,Gnar,LOSS
Malzahar,Sejuani,LOSS
Malzahar,Caitlyn,LOSS
Malzahar,Sona,LOSS
Caitlyn,Gnar,LOSS
Caitlyn,Sejuani,LOSS
Caitlyn,Malzahar,LOSS
Caitlyn,Sona,LOSS
Sona,Gnar,LOSS
Sona,Sejuani,LOSS
Sona,Malzahar,LOSS
Sona,Caitlyn,LOSS
Riven,Rumble,WIN
Riven,Rammus,WIN
Riven,Lucian,WIN
Riven,Nami,WIN
Rumble,Riven,WIN
Rumble,Rammus,WIN
Rumble,Lucian,WIN
Rumble,Nami,WIN
Rammus,Riven,WIN
Rammus,Rumble,WIN
Rammus,Lucian,WIN
Rammus,Nami,WIN
Lucian,Riven,WIN
Lucian,Rumble,WIN
Lucian,Rammus,WIN
Lucian,Nami,WIN
Nami,Riven,WIN
Nami,Rumble,WIN
Nami,Rammus,WIN
Nami,Lucian,WIN
JarvanIV,Amumu,LOSS
JarvanIV,Aatrox,LOSS
JarvanIV,Jinx,LOSS
JarvanIV,Lux,LOSS
Amumu,JarvanIV,LOSS
Amumu,Aatrox,LOSS
Amumu,Jinx,LOSS
Amumu,Lux,LOSS
Aatrox,JarvanIV,LOSS
Aatrox,Amumu,LOSS
Aatrox,Jinx,LOSS
Aatrox,Lux,LOSS
Jinx,JarvanIV,LOSS
Jinx,Amumu,LOSS
Jinx,Aatrox,LOSS
Jinx,Lux,LOSS
Lux,JarvanIV,LOSS
Lux,Amumu,LOSS
Lux,Aatrox,LOSS
Lux,Jinx,LOSS
Gnar,Volibear,WIN
Gnar,Fizz,WIN
Gnar,Vayne,WIN
Gnar,Thresh,WIN
Volibear,Gnar,WIN
Volibear,Fizz,WIN
Volibear,Vayne,WIN
Volibear,Thresh,WIN
Fizz,Gnar,WIN
Fizz,Volibear,WIN
Fizz,Vayne,WIN
Fizz,Thresh,WIN
Vayne,Gnar,WIN
Vayne,Volibear,WIN
Vayne,Fizz,WIN
Vayne,Thresh,WIN
Thresh,Gnar,WIN
Thresh,Volibear,WIN
Thresh,Fizz,WIN
Thresh,Vayne,WIN
Nasus,Warwick,LOSS
Nasus,Malzahar,LOSS
Nasus,Graves,LOSS
Nasus,Bard,LOSS
Warwick,Nasus,LOSS
Warwick,Malzahar,LOSS
Warwick,Graves,LOSS
Warwick,Bard,LOSS
Malzahar,Nasus,LOSS
Malzahar,Warwick,LOSS
Malzahar,Graves,LOSS
Malzahar,Bard,LOSS
Graves,Nasus,LOSS
Graves,Warwick,LOSS
Graves,Malzahar,LOSS
Graves,Bard,LOSS
Bard,Nasus,LOSS
Bard,Warwick,LOSS
Bard,Malzahar,LOSS
Bard,Graves,LOSS
Riven,DrMundo,WIN
Riven,Xerath,WIN
Riven,Kalista,WIN
Riven,Alistar,WIN
DrMundo,Riven,WIN
DrMundo,Xerath,WIN
DrMundo,Kalista,WIN
DrMundo,Alistar,WIN
Xerath,Riven,WIN
Xerath,DrMundo,WIN
Xerath,Kalista,WIN
Xerath,Alistar,WIN
Kalista,Riven,WIN
Kalista,DrMundo,WIN
Kalista,Xerath,WIN
Kalista,Alistar,WIN
Alistar,Riven,WIN
Alistar,DrMundo,WIN
Alistar,Xerath,WIN
Alistar,Kalista,WIN
Garen,Amumu,LOSS
Garen,Malzahar,LOSS
Garen,Ezreal,LOSS
Garen,Morgana,LOSS
Amumu,Garen,LOSS
Amumu,Malzahar,LOSS
Amumu,Ezreal,LOSS
Amumu,Morgana,LOSS
Malzahar,Garen,LOSS
Malzahar,Amumu,LOSS
Malzahar,Ezreal,LOSS
Malzahar,Morgana,LOSS
Ezreal,Garen,LOSS
Ezreal,Amumu,LOSS
Ezreal,Malzahar,LOSS
Ezreal,Morgana,LOSS
Morgana,Garen,LOSS
Morgana,Amumu,LOSS
Morgana,Malzahar,LOSS
Morgana,Ezreal,LOSS
Nasus,Amumu,WIN
Nasus,Morgana,WIN
Nasus,Sivir,WIN
Nasus,Nami,WIN
Amumu,Nasus,WIN
Amumu,Morgana,WIN
Amumu,Sivir,WIN
Amumu,Nami,WIN
Morgana,Nasus,WIN
Morgana,Amumu,WIN
Morgana,Sivir,WIN
Morgana,Nami,WIN
Sivir,Nasus,WIN
Sivir,Amumu,WIN
Sivir,Morgana,WIN
Sivir,Nami,WIN
Nami,Nasus,WIN
Nami,Amumu,WIN
Nami,Morgana,WIN
Nami,Sivir,WIN
Vladimir,JarvanIV,LOSS
Vladimir,Zed,LOSS
Vladimir,Ezreal,LOSS
Vladimir,Sona,LOSS
JarvanIV,Vladimir,LOSS
JarvanIV,Zed,LOSS
JarvanIV,Ezreal,LOSS
JarvanIV,Sona,LOSS
Zed,Vladimir,LOSS
Zed,JarvanIV,LOSS
Zed,Ezreal,LOSS
Zed,Sona,LOSS
Ezreal,Vladimir,LOSS
Ezreal,JarvanIV,LOSS
Ezreal,Zed,LOSS
Ezreal,Sona,LOSS
Sona,Vladimir,LOSS
Sona,JarvanIV,LOSS
Sona,Zed,LOSS
Sona,Ezreal,LOSS
Singed,Rammus,WIN
Singed,Vladimir,WIN
Singed,Jinx,WIN
Singed,Nami,WIN
Rammus,Singed,WIN
Rammus,Vladimir,WIN
Rammus,Jinx,WIN
Rammus,Nami,WIN
Vladimir,Singed,WIN
Vladimir,Rammus,WIN
Vladimir,Jinx,WIN
Vladimir,Nami,WIN
Jinx,Singed,WIN
Jinx,Rammus,WIN
Jinx,Vladimir,WIN
Jinx,Nami,WIN
Nami,Singed,WIN
Nami,Rammus,WIN
Nami,Vladimir,WIN
Nami,Jinx,WIN
Teemo,LeeSin,LOSS
Teemo,Malzahar,LOSS
Teemo,Kalista,LOSS
Teemo,Thresh,LOSS
LeeSin,Teemo,LOSS
LeeSin,Malzahar,LOSS
LeeSin,Kalista,LOSS
LeeSin,Thresh,LOSS
Malzahar,Teemo,LOSS
Malzahar,LeeSin,LOSS
Malzahar,Kalista,LOSS
Malzahar,Thresh,LOSS
Kalista,Teemo,LOSS
Kalista,LeeSin,LOSS
Kalista,Malzahar,LOSS
Kalista,Thresh,LOSS
Thresh,Teemo,LOSS
Thresh,LeeSin,LOSS
Thresh,Malzahar,LOSS
Thresh,Kalista,LOSS
MonkeyKing,Katarina,WIN
MonkeyKing,Khazix,WIN
MonkeyKing,Sivir,WIN
MonkeyKing,Volibear,WIN
Katarina,MonkeyKing,WIN
Katarina,Khazix,WIN
Katarina,Sivir,WIN
Katarina,Volibear,WIN
Khazix,MonkeyKing,WIN
Khazix,Katarina,WIN
Khazix,Sivir,WIN
Khazix,Volibear,WIN
Sivir,MonkeyKing,WIN
Sivir,Katarina,WIN
Sivir,Khazix,WIN
Sivir,Volibear,WIN
Volibear,MonkeyKing,WIN
Volibear,Katarina,WIN
Volibear,Khazix,WIN
Volibear,Sivir,WIN
Akali,Amumu,LOSS
Akali,TwistedFate,LOSS
Akali,Tristana,LOSS
Akali,Leona,LOSS
Amumu,Akali,LOSS
Amumu,TwistedFate,LOSS
Amumu,Tristana,LOSS
Amumu,Leona,LOSS
TwistedFate,Akali,LOSS
TwistedFate,Amumu,LOSS
TwistedFate,Tristana,LOSS
TwistedFate,Leona,LOSS
Tristana,Akali,LOSS
Tristana,Amumu,LOSS
Tristana,TwistedFate,LOSS
Tristana,Leona,LOSS
Leona,Akali,LOSS
Leona,Amumu,LOSS
Leona,TwistedFate,LOSS
Leona,Tristana,LOSS
Nasus,Shaco,WIN
Nasus,Lucian,WIN
Nasus,Jinx,WIN
Nasus,Velkoz,WIN
Shaco,Nasus,WIN
Shaco,Lucian,WIN
Shaco,Jinx,WIN
Shaco,Velkoz,WIN
Lucian,Nasus,WIN
Lucian,Shaco,WIN
Lucian,Jinx,WIN
Lucian,Velkoz,WIN
Jinx,Nasus,WIN
Jinx,Shaco,WIN
Jinx,Lucian,WIN
Jinx,Velkoz,WIN
Velkoz,Nasus,WIN
Velkoz,Shaco,WIN
Velkoz,Lucian,WIN
Velkoz,Jinx,WIN
Zac,RekSai,LOSS
Zac,Fizz,LOSS
Zac,Sivir,LOSS
Zac,Malphite,LOSS
RekSai,Zac,LOSS
RekSai,Fizz,LOSS
RekSai,Sivir,LOSS
RekSai,Malphite,LOSS
Fizz,Zac,LOSS
Fizz,RekSai,LOSS
Fizz,Sivir,LOSS
Fizz,Malphite,LOSS
Sivir,Zac,LOSS
Sivir,RekSai,LOSS
Sivir,Fizz,LOSS
Sivir,Malphite,LOSS
Malphite,Zac,LOSS
Malphite,RekSai,LOSS
Malphite,Fizz,LOSS
Malphite,Sivir,LOSS
Riven,Rammus,WIN
Riven,Vladimir,WIN
Riven,Twitch,WIN
Riven,Nautilus,WIN
Rammus,Riven,WIN
Rammus,Vladimir,WIN
Rammus,Twitch,WIN
Rammus,Nautilus,WIN
Vladimir,Riven,WIN
Vladimir,Rammus,WIN
Vladimir,Twitch,WIN
Vladimir,Nautilus,WIN
Twitch,Riven,WIN
Twitch,Rammus,WIN
Twitch,Vladimir,WIN
Twitch,Nautilus,WIN
Nautilus,Riven,WIN
Nautilus,Rammus,WIN
Nautilus,Vladimir,WIN
Nautilus,Twitch,WIN
Shen,Rengar,LOSS
Shen,Zed,LOSS
Shen,Ashe,LOSS
Shen,Morgana,LOSS
Rengar,Shen,LOSS
Rengar,Zed,LOSS
Rengar,Ashe,LOSS
Rengar,Morgana,LOSS
Zed,Shen,LOSS
Zed,Rengar,LOSS
Zed,Ashe,LOSS
Zed,Morgana,LOSS
Ashe,Shen,LOSS
Ashe,Rengar,LOSS
Ashe,Zed,LOSS
Ashe,Morgana,LOSS
Morgana,Shen,LOSS
Morgana,Rengar,LOSS
Morgana,Zed,LOSS
Morgana,Ashe,LOSS
Nasus,Gragas,WIN
Nasus,Malzahar,WIN
Nasus,Varus,WIN
Nasus,Sona,WIN
Gragas,Nasus,WIN
Gragas,Malzahar,WIN
Gragas,Varus,WIN
Gragas,Sona,WIN
Malzahar,Nasus,WIN
Malzahar,Gragas,WIN
Malzahar,Varus,WIN
Malzahar,Sona,WIN
Varus,Nasus,WIN
Varus,Gragas,WIN
Varus,Malzahar,WIN
Varus,Sona,WIN
Sona,Nasus,WIN
Sona,Gragas,WIN
Sona,Malzahar,WIN
Sona,Varus,WIN
Fiora,Evelynn,LOSS
Fiora,Cassiopeia,LOSS
Fiora,Blitzcrank,LOSS
Fiora,Morgana,LOSS
Evelynn,Fiora,LOSS
Evelynn,Cassiopeia,LOSS
Evelynn,Blitzcrank,LOSS
Evelynn,Morgana,LOSS
Cassiopeia,Fiora,LOSS
Cassiopeia,Evelynn,LOSS
Cassiopeia,Blitzcrank,LOSS
Cassiopeia,Morgana,LOSS
Blitzcrank,Fiora,LOSS
Blitzcrank,Evelynn,LOSS
Blitzcrank,Cassiopeia,LOSS
Blitzcrank,Morgana,LOSS
Morgana,Fiora,LOSS
Morgana,Evelynn,LOSS
Morgana,Cassiopeia,LOSS
Morgana,Blitzcrank,LOSS
Maokai,Amumu,WIN
Maokai,Malzahar,WIN
Maokai,Ashe,WIN
Maokai,Morgana,WIN
Amumu,Maokai,WIN
Amumu,Malzahar,WIN
Amumu,Ashe,WIN
Amumu,Morgana,WIN
Malzahar,Maokai,WIN
Malzahar,Amumu,WIN
Malzahar,Ashe,WIN
Malzahar,Morgana,WIN
Ashe,Maokai,WIN
Ashe,Amumu,WIN
Ashe,Malzahar,WIN
Ashe,Morgana,WIN
Morgana,Maokai,WIN
Morgana,Amumu,WIN
Morgana,Malzahar,WIN
Morgana,Ashe,WIN
Hecarim,Warwick,LOSS
Hecarim,Zed,LOSS
Hecarim,Kalista,LOSS
Hecarim,Leona,LOSS
Warwick,Hecarim,LOSS
Warwick,Zed,LOSS
Warwick,Kalista,LOSS
Warwick,Leona,LOSS
Zed,Hecarim,LOSS
Zed,Warwick,LOSS
Zed,Kalista,LOSS
Zed,Leona,LOSS
Kalista,Hecarim,LOSS
Kalista,Warwick,LOSS
Kalista,Zed,LOSS
Kalista,Leona,LOSS
Leona,Hecarim,LOSS
Leona,Warwick,LOSS
Leona,Zed,LOSS
Leona,Kalista,LOSS
Maokai,Warwick,WIN
Maokai,Xerath,WIN
Maokai,Vayne,WIN
Maokai,Nautilus,WIN
Warwick,Maokai,WIN
Warwick,Xerath,WIN
Warwick,Vayne,WIN
Warwick,Nautilus,WIN
Xerath,Maokai,WIN
Xerath,Warwick,WIN
Xerath,Vayne,WIN
Xerath,Nautilus,WIN
Vayne,Maokai,WIN
Vayne,Warwick,WIN
Vayne,Xerath,WIN
Vayne,Nautilus,WIN
Nautilus,Maokai,WIN
Nautilus,Warwick,WIN
Nautilus,Xerath,WIN
Nautilus,Vayne,WIN
Darius,JarvanIV,LOSS
Darius,Veigar,LOSS
Darius,Sivir,LOSS
Darius,Bard,LOSS
JarvanIV,Darius,LOSS
JarvanIV,Veigar,LOSS
JarvanIV,Sivir,LOSS
JarvanIV,Bard,LOSS
Veigar,Darius,LOSS
Veigar,JarvanIV,LOSS
Veigar,Sivir,LOSS
Veigar,Bard,LOSS
Sivir,Darius,LOSS
Sivir,JarvanIV,LOSS
Sivir,Veigar,LOSS
Sivir,Bard,LOSS
Bard,Darius,LOSS
Bard,JarvanIV,LOSS
Bard,Veigar,LOSS
Bard,Sivir,LOSS
Gnar,MasterYi,WIN
Gnar,Anivia,WIN
Gnar,Jinx,WIN
Gnar,Thresh,WIN
MasterYi,Gnar,WIN
MasterYi,Anivia,WIN
MasterYi,Jinx,WIN
MasterYi,Thresh,WIN
Anivia,Gnar,WIN
Anivia,MasterYi,WIN
Anivia,Jinx,WIN
Anivia,Thresh,WIN
Jinx,Gnar,WIN
Jinx,MasterYi,WIN
Jinx,Anivia,WIN
Jinx,Thresh,WIN
Thresh,Gnar,WIN
Thresh,MasterYi,WIN
Thresh,Anivia,WIN
Thresh,Jinx,WIN
Mordekaiser,Udyr,LOSS
Mordekaiser,Velkoz,LOSS
Mordekaiser,Lucian,LOSS
Mordekaiser,Braum,LOSS
Udyr,Mordekaiser,LOSS
Udyr,Velkoz,LOSS
Udyr,Lucian,LOSS
Udyr,Braum,LOSS
Velkoz,Mordekaiser,LOSS
Velkoz,Udyr,LOSS
Velkoz,Lucian,LOSS
Velkoz,Braum,LOSS
Lucian,Mordekaiser,LOSS
Lucian,Udyr,LOSS
Lucian,Velkoz,LOSS
Lucian,Braum,LOSS
Braum,Mordekaiser,LOSS
Braum,Udyr,LOSS
Braum,Velkoz,LOSS
Braum,Lucian,LOSS
Nasus,Gragas,WIN
Nasus,Anivia,WIN
Nasus,Jinx,WIN
Nasus,Leona,WIN
Gragas,Nasus,WIN
Gragas,Anivia,WIN
Gragas,Jinx,WIN
Gragas,Leona,WIN
Anivia,Nasus,WIN
Anivia,Gragas,WIN
Anivia,Jinx,WIN
Anivia,Leona,WIN
Jinx,Nasus,WIN
Jinx,Gragas,WIN
Jinx,Anivia,WIN
Jinx,Leona,WIN
Leona,Nasus,WIN
Leona,Gragas,WIN
Leona,Anivia,WIN
Leona,Jinx,WIN
Ryze,MonkeyKing,LOSS
Ryze,Ziggs,LOSS
Ryze,Twitch,LOSS
Ryze,Thresh,LOSS
MonkeyKing,Ryze,LOSS
MonkeyKing,Ziggs,LOSS
MonkeyKing,Twitch,LOSS
MonkeyKing,Thresh,LOSS
Ziggs,Ryze,LOSS
Ziggs,MonkeyKing,LOSS
Ziggs,Twitch,LOSS
Ziggs,Thresh,LOSS
Twitch,Ryze,LOSS
Twitch,MonkeyKing,LOSS
Twitch,Ziggs,LOSS
Twitch,Thresh,LOSS
Thresh,Ryze,LOSS
Thresh,MonkeyKing,LOSS
Thresh,Ziggs,LOSS
Thresh,Twitch,LOSS
Singed,LeeSin,WIN
Singed,Leblanc,WIN
Singed,Tristana,WIN
Singed,Bard,WIN
LeeSin,Singed,WIN
LeeSin,Leblanc,WIN
LeeSin,Tristana,WIN
LeeSin,Bard,WIN
Leblanc,Singed,WIN
Leblanc,LeeSin,WIN
Leblanc,Tristana,WIN
Leblanc,Bard,WIN
Tristana,Singed,WIN
Tristana,LeeSin,WIN
Tristana,Leblanc,WIN
Tristana,Bard,WIN
Bard,Singed,WIN
Bard,LeeSin,WIN
Bard,Leblanc,WIN
Bard,Tristana,WIN
Yorick,Volibear,LOSS
Yorick,Katarina,LOSS
Yorick,Vayne,LOSS
Yorick,Blitzcrank,LOSS
Volibear,Yorick,LOSS
Volibear,Katarina,LOSS
Volibear,Vayne,LOSS
Volibear,Blitzcrank,LOSS
Katarina,Yorick,LOSS
Katarina,Volibear,LOSS
Katarina,Vayne,LOSS
Katarina,Blitzcrank,LOSS
Vayne,Yorick,LOSS
Vayne,Volibear,LOSS
Vayne,Katarina,LOSS
Vayne,Blitzcrank,LOSS
Blitzcrank,Yorick,LOSS
Blitzcrank,Volibear,LOSS
Blitzcrank,Katarina,LOSS
Blitzcrank,Vayne,LOSS
Garen,Amumu,WIN
Garen,Orianna,WIN
Garen,Varus,WIN
Garen,Thresh,WIN
Amumu,Garen,WIN
Amumu,Orianna,WIN
Amumu,Varus,WIN
Amumu,Thresh,WIN
Orianna,Garen,WIN
Orianna,Amumu,WIN
Orianna,Varus,WIN
Orianna,Thresh,WIN
Varus,Garen,WIN
Varus,Amumu,WIN
Varus,Orianna,WIN
Varus,Thresh,WIN
Thresh,Garen,WIN
Thresh,Amumu,WIN
Thresh,Orianna,WIN
Thresh,Varus,WIN
Nasus,Shyvana,LOSS
Nasus,Ziggs,LOSS
Nasus,Draven,LOSS
Nasus,Brand,LOSS
Shyvana,Nasus,LOSS
Shyvana,Ziggs,LOSS
Shyvana,Draven,LOSS
Shyvana,Brand,LOSS
Ziggs,Nasus,LOSS
Ziggs,Shyvana,LOSS
Ziggs,Draven,LOSS
Ziggs,Brand,LOSS
Draven,Nasus,LOSS
Draven,Shyvana,LOSS
Draven,Ziggs,LOSS
Draven,Brand,LOSS
Brand,Nasus,LOSS
Brand,Shyvana,LOSS
Brand,Ziggs,LOSS
Brand,Draven,LOSS
Chogath,MasterYi,WIN
Chogath,Ahri,WIN
Chogath,Vayne,WIN
Chogath,Blitzcrank,WIN
MasterYi,Chogath,WIN
MasterYi,Ahri,WIN
MasterYi,Vayne,WIN
MasterYi,Blitzcrank,WIN
Ahri,Chogath,WIN
Ahri,MasterYi,WIN
Ahri,Vayne,WIN
Ahri,Blitzcrank,WIN
Vayne,Chogath,WIN
Vayne,MasterYi,WIN
Vayne,Ahri,WIN
Vayne,Blitzcrank,WIN
Blitzcrank,Chogath,WIN
Blitzcrank,MasterYi,WIN
Blitzcrank,Ahri,WIN
Blitzcrank,Vayne,WIN
Vladimir,LeeSin,LOSS
Vladimir,Morgana,LOSS
Vladimir,Draven,LOSS
Vladimir,Thresh,LOSS
LeeSin,Vladimir,LOSS
LeeSin,Morgana,LOSS
LeeSin,Draven,LOSS
LeeSin,Thresh,LOSS
Morgana,Vladimir,LOSS
Morgana,LeeSin,LOSS
Morgana,Draven,LOSS
Morgana,Thresh,LOSS
Draven,Vladimir,LOSS
Draven,LeeSin,LOSS
Draven,Morgana,LOSS
Draven,Thresh,LOSS
Thresh,Vladimir,LOSS
Thresh,LeeSin,LOSS
Thresh,Morgana,LOSS
Thresh,Draven,LOSS
Nasus,Volibear,WIN
Nasus,Malzahar,WIN
Nasus,Ashe,WIN
Nasus,Blitzcrank,WIN
Volibear,Nasus,WIN
Volibear,Malzahar,WIN
Volibear,Ashe,WIN
Volibear,Blitzcrank,WIN
Malzahar,Nasus,WIN
Malzahar,Volibear,WIN
Malzahar,Ashe,WIN
Malzahar,Blitzcrank,WIN
Ashe,Nasus,WIN
Ashe,Volibear,WIN
Ashe,Malzahar,WIN
Ashe,Blitzcrank,WIN
Blitzcrank,Nasus,WIN
Blitzcrank,Volibear,WIN
Blitzcrank,Malzahar,WIN
Blitzcrank,Ashe,WIN
XinZhao,LeeSin,LOSS
XinZhao,Diana,LOSS
XinZhao,Vayne,LOSS
XinZhao,Thresh,LOSS
LeeSin,XinZhao,LOSS
LeeSin,Diana,LOSS
LeeSin,Vayne,LOSS
LeeSin,Thresh,LOSS
Diana,XinZhao,LOSS
Diana,LeeSin,LOSS
Diana,Vayne,LOSS
Diana,Thresh,LOSS
Vayne,XinZhao,LOSS
Vayne,LeeSin,LOSS
Vayne,Diana,LOSS
Vayne,Thresh,LOSS
Thresh,XinZhao,LOSS
Thresh,LeeSin,LOSS
Thresh,Diana,LOSS
Thresh,Vayne,LOSS
Urgot,LeeSin,WIN
Urgot,Malzahar,WIN
Urgot,Ezreal,WIN
Urgot,Nami,WIN
LeeSin,Urgot,WIN
LeeSin,Malzahar,WIN
LeeSin,Ezreal,WIN
LeeSin,Nami,WIN
Malzahar,Urgot,WIN
Malzahar,LeeSin,WIN
Malzahar,Ezreal,WIN
Malzahar,Nami,WIN
Ezreal,Urgot,WIN
Ezreal,LeeSin,WIN
Ezreal,Malzahar,WIN
Ezreal,Nami,WIN
Nami,Urgot,WIN
Nami,LeeSin,WIN
Nami,Malzahar,WIN
Nami,Ezreal,WIN
Malphite,Sejuani,LOSS
Malphite,KogMaw,LOSS
Malphite,Tristana,LOSS
Malphite,Leona,LOSS
Sejuani,Malphite,LOSS
Sejuani,KogMaw,LOSS
Sejuani,Tristana,LOSS
Sejuani,Leona,LOSS
KogMaw,Malphite,LOSS
KogMaw,Sejuani,LOSS
