24488,24488,53,53
22742,14277,57,50
177,1069,39,70
113,0,43,3
385,569,63,76
22047,202619,29,44
84267,263287,33,41
114776,5317,9,0
21233,534795,15,30
4532,239,62,31
1881,1881,66,66
5665,33,52,17
301241,4177,28,10
1,3003,4,35
19,12773,8,38
251104,94219,41,34
4107,4484,61,63
10,1087,17,57
8487,48140,37,54
1049734,1049734,13,13
76298,841662,3,11
13478,93,50,18
146,142,70,81
595,0,40,4
155461,16383,46,30
41552,657663,16,29
401415,7918,22,7
73,62,79,82
86,28163,12,41
1540,329,69,40
757,201,73,45
217,2,59,14
64545,79315,45,47
31468,40318,49,52
26438,48,25,3
137,52,82,52
2153,7611,45,64
72,6388,21,55
379,182,78,56
2345615,961518,7,4
40589,3906,54,33
24848,8311,58,44
32120,197,44,15
521757,43450,34,21
96,95,77,81
9290,428226,10,26
852,979,67,71
1,375,0,28
298,2,63,19
81,961,33,68
201,0,53,9
195,371,57,78
7646,106491,29,48
5072,49989,33,53
510489,15214,19,6
0,1684,5,39
4713,2890,66,55
1003,2277,52,70
4145,16614,42,60
6082,5308,62,59
268,53182,14,41
550,533,71,72
961518,2345615,4,7
409,19,65,23
79559,14901,51,36
288063,54595,41,30
2181,2826,61,67
18668,100,47,16
4482,240590,17,37
102405,197047,37,42
778170,46019,23,11
8,3905,13,49
570,59,70,34
151,19,74,33
23462,31494,50,54
41,1499,26,63
145,99,83,66
9940,23926,46,58
1,401,2,36
43267,489920,22,35
260,135,79,54
64,36,83,51
41506,11652,55,41
20411,5253,59,42
62918,733,45,19
61,148,49,80
155,2464,31,64
5810,5,35,5
194544,583485,25,31
7250,379934,11,28
173,16,72,30
235349,1240026,1,6
94,193,58,81
811,0,54,13
43530,260555,30,42
2117,22299,34,57
181503,1815,20,4
1719,174,67,35
7349,24683,43,58
7523,5077,63,55
85790,549,39,14
201,161,80,69
92,383,43,75
735383,122500,29,20
7882,346838,15,33
24544,470218,19,34
131,56215,5,27
1833,2274,62,68
721,29,66,27
18138,746,56,29
68592,522,42,16
25108,29,32,6
1822,129647,18,41
78904,165604,38,44
1984,2155,65,66
912470,74599,14,5
1254,313,71,44
298,64,75,41
496,1453,47,71
195,5980,27,59
31544,47988,47,52
35104,200,17,1
1792,75434,23,47
4387,532,64,36
246,648,50,75
538,469,74,69
37,154,40,77
314,4,60,16
91,126,64,83
462402,67028,36,25
833283,199750,26,19
175295,1159453,2,8
578,1,55,13
13740,10163,59,54
165269,365992,31,36
