162,840,0,8,2,11
6001,1130,3,11,2,7
5671,8327,1,4,0,7
3815,3090,1,10,2,9
743371,446303,0,6,0,5
623966,3492,2,8,0,1
1582,3112,0,8,2,7
652,2592,0,6,0,9
1234182,4047983,0,1,0,3
42805,4567,3,10,1,5
1680,11823,1,5,2,11
864,493,3,11,1,10
5597,10,1,11,0,1
139380,1525499,0,3,1,6
17319,357821,0,5,2,10
16212,20811,1,6,0,8
88988,261,2,7,0,0
1240410,229153,1,6,0,4
2142726,136826,0,4,0,0
14095,7997,0,8,1,5
432246,1173,1,8,0,0
900,266935,0,1,1,9
349,423,2,11,3,10
235,320,2,6,2,9
5649,1460,3,10,2,7
94861,124432,1,5,1,6
13310,336079,0,1,1,5
444,190,2,9,0,9
119,155,0,9,2,7
423,349,3,10,2,11
38,545,1,3,3,9
633189,11245,0,7,0,1
24180,24446,2,7,1,8
596439,44701,2,9,0,5
13205,7766,1,6,1,4
138,107,1,9,2,6
30078,782868,0,2,0,7
4050,889,2,7,1,4
7805,286849,0,4,3,9
482,1366,1,7,1,11
133016,133016,1,8,1,8
34578,269276,0,6,2,9
179999,137156,1,5,0,6
376895,376895,1,7,1,7
16463,5039,1,8,1,4
32572,56468,2,8,2,9
2542483,360633,0,5,0,2
201827,80923,2,9,1,7
24896,2180,2,11,0,6
1293,1172,2,10,2,11
12893,884929,0,0,0,6
80154,89455,2,8,1,8
1295,770,3,11,3,10
13,235,1,3,2,11
1466,298814,0,2,3,9
13808,3755,2,8,1,4
312,2464,0,8,3,10
334949,5477,3,10,0,4
1069600,255782,1,7,0,5
18631,6760,1,10,1,7
668,416,1,11,1,8
75020,943129,0,3,0,7
2827,319,2,6,0,5
37,156634,0,0,3,11
293,139,1,9,0,9
3884,56624,0,5,1,10
18239,3821,2,11,1,6
318392,26966,1,9,0,5
21624,512904,0,4,1,9
18922,476,0,9,0,3
297,274,2,11,1,10
8049,73750,1,6,3,11
146699,538872,0,4,1,5
927362,59401,2,8,0,4
15168,12154,2,10,1,9
857,1862,1,4,0,8
434232,3024559,0,1,0,4
1183,132522,0,1,0,8
24594,188290,0,5,2,7
803,36,3,11,1,3
14541,5930,3,9,2,8
11445,640044,0,3,1,9
53511,1082386,0,2,1,6
188290,24594,2,7,0,5
747277,17883,1,6,0,1
1254,449,0,9,1,5
155,119,2,7,0,9
41285,6289,2,10,0,7
3725,1317,1,3,0,3
805543,113667,1,8,0,5
630,267,1,5,1,3
794,583,1,8,0,9
121548,188023,1,7,2,8
3192,574149,0,0,1,7
969393,6533,2,9,0,2
288847,187,3,11,0,1
3208776,3208776,0,2,0,2
0,2508,0,0,1,11
3755,13808,1,4,2,8
1489,445,1,6,1,3
25494,3182,1,10,0,6
116,16,2,6,1,4
1706,321,1,8,1,3
29175,12054,0,8,0,6
433,365,2,6,1,8
2184,414,3,9,0,8
336079,13310,1,5,0,1
6633,1211,1,9,1,4
4146,379770,0,3,3,9
3090,3815,2,9,1,10
154702,1286,2,11,0,3
81,102,2,7,2,6
286849,7805,3,9,0,4
56195,36796,1,9,1,8
3559499,7263044,0,0,0,1
263,4559,0,4,2,6
13606,604107,0,4,2,10
112,28,3,10,0,9
20944,19069,1,7,0,8
58956,83484,1,8,2,9
21864,153976,0,6,1,9
2250,5,2,6,0,0
3802,46740,1,5,3,11
3335152,487416,0,3,0,0
130541,134,1,9,0,0
12643,860,0,9,0,4
2299,578574,0,2,2,10
320,235,2,9,2,6
2706,8639,0,8,2,9
32162,19798,1,4,0,5
70,4623,0,2,2,6
1939045,278088,0,6,0,3
27498,8052,3,11,1,8
5338,2349,3,9,2,7
11470,112,1,11,0,3
13685,65241,0,3,1,4
36,8701,0,2,1,11
72588,556215,0,5,2,8
1822,20175,0,7,3,10
264896,4111,2,7,0,2
9962,20723,1,4,1,7
385054,212635,1,6,0,6
6665,73078,0,6,3,9
3156549,878403,0,4,0,2
4427,9301,2,9,3,10
19069,20944,0,8,1,7
15,116,1,4,1,11
10,5597,0,1,1,11
5930,14541,2,8,3,9
36985,6191,3,9,1,5
4891,3730,1,5,1,4
15311,1064426,0,1,1,7
2377,3756,2,10,3,11
4718,4551,3,9,1,9
32987,1203355,0,3,2,8
37934,37934,0,7,0,7
719,1399,2,7,1,10
190,444,0,9,2,9
232052,232052,1,6,1,6
2757,244,3,11,0,8
36085,18749,1,9,2,8
360633,2542483,0,2,0,5
54797,23502,2,7,1,6
588,383019,0,1,2,10
108,130,1,11,2,10
2180,24896,0,6,2,11
18412,18207,2,8,2,7
132522,1183,0,8,0,1
538872,146699,1,5,0,4
17420,72698,0,5,0,8
1700,4550,2,8,2,11
546,1349,2,7,2,11
7997,14095,1,5,0,8
1877965,989716,0,5,0,4
117503,25351,2,9,1,5
840,162,2,11,0,8
22690,14249,2,10,2,9
3821,18239,1,6,2,11
152,1968,1,3,2,9
729,395741,0,2,3,11
212635,385054,0,6,1,6
349651,944,3,10,0,2
150047,97601,1,7,0,7
365,433,1,8,2,6
2878,2838,1,10,1,9
718135,2771446,0,3,0,5
283,256165,0,1,3,10
401,120,2,6,0,7
69,130487,0,0,3,9
19798,32162,0,5,1,4
17854,3322,3,11,2,8
213,8197,0,4,1,11
32,90,2,6,3,10
50970,6079,1,4,0,2
12703,59899,1,6,3,9
317174,317174,0,6,0,6
214499,1717453,0,4,1,7
896515,11447,2,8,0,2
130,108,2,10,1,11
12074,62760,1,7,3,10
50437,1383972,0,1,0,6
69253,9656,3,10,1,6
38031,108850,1,5,2,8
1317,3725,0,3,1,3
6079,50970,0,2,1,4
23577,8666,2,7,0,7
24,42717,0,0,2,11
1525499,139380,1,6,0,3
989716,1877965,0,4,0,5
1494,1136,0,9,1,7
7913,14819,0,8,1,8
383019,588,2,10,0,1
1889,1952,1,3,0,5
1672035,54085,1,8,0,3
120,215,2,6,2,10
5109,212773,0,5,3,11
337405,316,2,9,0,0
22389,1600,3,11,0,7
31644,110110,1,6,1,9
5157,7605,0,7,0,8
4921751,1315946,0,2,0,0
1066,9144,1,4,2,10
22209,20,1,10,0,0
840,301,2,6,1,6
16,116,1,4,2,6
982,982,0,8,0,8
2261,504630,0,3,3,11
2204277,155647,0,5,0,1
83484,58956,2,9,1,8
60933,2862,2,11,0,5
73078,6665,3,9,0,6
487416,3335152,0,0,0,3
158,327,2,8,1,11
1864,635,3,11,3,9
1498,1127,0,6,1,3
59401,927362,0,4,2,8
188023,121548,2,8,1,7
20175,1822,3,10,0,7
4330,8151,1,8,2,11
1225,187,1,10,1,4
635,1864,3,9,3,11
4623,70,2,6,0,2
153976,21864,1,9,0,6
25104,68601,0,7,2,8
1952,1889,0,5,1,3
2592,652,0,9,0,6
72,139,1,3,1,4
56468,32572,2,9,2,8
437,311,2,8,0,9
9144,1066,2,10,1,4
321,1706,1,3,1,8
1383972,50437,0,6,0,1
1172,1293,2,11,2,10
9320,30977,1,5,2,7
6057,3604,3,10,1,9
73750,8049,3,11,1,6
10987,20730,1,8,3,9
3604,6057,1,9,3,10
4440,279,1,11,0,5
1603,122059,0,3,1,10
3602,440439,0,2,1,9
5,2250,0,0,2,6
493,864,1,10,3,11
15879,138228,0,4,0,8
604107,13606,2,10,0,4
3730,4891,1,4,1,5
3992,67,1,3,0,0
3799,90217,0,6,3,11
5194,1018,2,10,0,8
1211,6633,1,4,1,9
3322,17854,2,8,3,11
57619,17038,3,9,1,7
1912,10468,1,5,1,10
152,4997,0,3,2,6
3691,2713,2,10,3,9
395741,729,3,11,0,2
7186,785150,0,3,2,10
342983,124820,0,7,0,5
12154,15168,1,9,2,10
56624,3884,1,10,0,5
3492,623966,0,1,2,8
327,158,1,11,2,8
203761,9646,0,8,0,3
1686,1091,3,10,3,9
473223,37801,1,5,0,2
122644,46630,1,9,1,7
11131,18349,2,7,2,9
225225,505,3,9,0,1
180,200,1,9,1,11
97601,150047,0,7,1,7
446303,743371,0,5,0,6
1968,152,2,9,1,3
10717,4095,2,10,2,7
58050,200925,1,6,2,9
111,544,0,7,1,11
707,4923,1,4,3,9
16881,18255,0,6,1,4
141599,49,3,10,0,0
1064426,15311,1,7,0,1
116,15,1,11,1,4
2861899,2861899,0,3,0,3
267360,783462,0,5,1,6
3756,2377,3,11,2,10
1130,6001,2,7,3,11
1018,5194,0,8,2,10
100,24,3,11,2,6
26617,458,1,4,0,0
1791,2150,1,10,2,10
1365821,418355,0,6,0,4
332229,806,2,8,0,0
12054,29175,0,6,0,8
7263044,3559499,0,1,0,0
10221,71899,1,5,2,10
5715,546,3,10,1,4
2508,0,1,11,0,0
2862,60933,0,5,2,11
929,1723,1,6,0,9
185828,1389,2,7,0,1
316,337405,0,0,2,9
783462,267360,1,6,0,5
116207,639116,0,4,0,7
139,293,0,9,1,9
280,979,0,8,1,10
785150,7186,2,10,0,3
403,847,1,3,0,7
790417,5483,1,8,0,1
5483,790417,0,1,1,8
363,321,2,6,2,8
110606,191852,1,5,1,7
2286,42288,0,1,1,4
16295,4252,3,10,2,8
49,654,1,3,3,10
782868,30078,0,7,0,2
9064,166902,0,5,3,9
67,3992,0,0,1,3
269276,34578,2,9,0,6
212773,5109,3,11,0,5
322,1296,1,6,1,11
127534,1687045,0,2,0,6
662,50,2,7,1,3
5477,334949,0,4,3,10
172836,289828,1,7,1,8
416,668,1,8,1,11
86496,444,1,10,0,2
55736,253861,0,6,2,8
289828,172836,1,8,1,7
20723,9962,1,7,1,4
58209,58209,2,8,2,8
2771446,718135,0,5,0,3
13,7804,0,0,0,9
200925,58050,2,9,1,6
6353,982,2,11,0,7
9658,9658,2,10,2,10
301,840,1,6,2,6
42679,1453126,0,0,0,5
18749,36085,2,8,1,9
880,880,3,11,3,11
64,1127,1,3,2,10
108850,38031,2,8,1,5
244,2757,0,8,3,11
192490,6262,3,10,0,5
1717453,214499,1,7,0,4
18155,4579,1,10,1,6
1586,1586,3,9,3,9
200,180,1,11,1,9
9646,203761,0,3,0,8
4559,263,2,6,0,4
5862,1917,1,9,0,8
26966,318392,0,5,1,9
11823,1680,2,11,1,5
512904,21624,1,9,0,4
6289,41285,0,7,2,10
7804,13,0,9,0,0
2218,2008,2,11,1,9
9656,69253,1,6,3,10
445,1489,1,3,1,6
120,401,0,7,2,6
14249,22690,2,9,2,10
68601,25104,2,8,0,7
124022,24090,2,10,1,6
45,155,1,4,0,9
12,145,1,3,1,10
155647,2204277,0,1,0,5
4550,1700,2,11,2,8
654,49,3,10,1,3
49,12740,0,1,0,9
6347,440,3,11,1,4
8052,27498,1,8,3,11
341,439,3,9,2,11
544,111,1,11,0,7
54085,1672035,0,3,1,8
45454,1532060,0,2,1,7
625,618,1,10,3,9
155,45,0,9,1,4
161784,13810,2,10,0,6
139,72,1,4,1,3
3003,689,1,3,0,2
33534,56546,1,7,2,7
384515,88264,1,8,0,6
208,74,0,8,1,3
102,81,2,6,2,7
5468,18174,1,7,2,11
52702,149768,1,5,1,8
458,26617,0,0,1,4
1312075,19939,2,9,0,3
156634,37,3,11,0,0
1173,432246,0,0,1,8
2631,15038,1,4,2,9
6832,1499,1,10,0,7
186,16580,0,2,0,9
29,4567,0,1,2,6
447,99,2,6,1,5
19051,86118,0,6,2,7
72698,17420,0,8,0,5
107,138,2,6,1,9
770,1295,3,10,3,11
189984,2948,1,5,0,0
61104,13405,1,9,1,5
42717,24,2,11,0,0
5614,5614,2,7,2,7
16,116,0,9,3,11
379770,4146,3,9,0,3
17313,17313,1,9,1,9
69061,54704,0,7,1,5
10817903,10817903,0,0,0,0
10564,43284,0,7,1,9
440,6347,1,4,3,11
3182,25494,0,6,1,10
2157960,125961,1,7,0,3
1296,322,1,11,1,6
4047983,1234182,0,3,0,1
640044,11445,1,9,0,3
6475,957,0,9,0,5
6533,969393,0,2,2,9
18349,11131,2,9,2,7
2349,5338,2,7,3,9
1127,64,2,10,1,3
4649,8818,0,8,2,8
18255,16881,1,4,0,6
5161,2473,1,10,2,8
1687045,127534,0,6,0,2
2474349,4525328,0,1,0,2
756,489,3,10,1,10
6994,3447,3,11,1,9
4551,4718,1,9,3,9
98,54,3,9,2,6
8701,36,1,11,0,2
125961,2157960,0,3,1,7
44701,596439,0,5,2,9
2810,19032,0,7,3,9
390060,12365,2,7,0,3
7766,13205,1,4,1,6
113734,103475,1,6,0,7
6017,7899,2,9,3,9
3024559,434232,0,4,0,1
1862,857,0,8,1,4
187,1225,1,4,1,10
104,50659,0,1,1,10
280,468,2,11,3,11
90,32,3,10,2,6
49593,49593,1,5,1,5
17883,747277,0,1,1,6
8639,2706,2,9,0,8
3261,2927,3,10,2,10
19939,1312075,0,3,2,9
407600,2842,0,7,0,0
5817,9797,2,7,1,9
1007058,36352,2,9,0,4
72,255,0,9,2,10
124432,94861,1,6,1,5
9797,5817,1,9,2,7
979,280,1,10,0,8
878403,3156549,0,2,0,4
30977,9320,2,7,1,5
101,87307,0,1,2,11
6760,18631,1,7,1,10
36796,56195,1,8,1,9
13810,161784,0,6,2,10
321,363,2,8,2,6
87837,285,0,8,0,0
54704,69061,1,5,0,7
149768,52702,1,8,1,5
343317,259773,1,7,1,6
957,6475,0,5,0,9
12416,34698,2,8,2,10
1039922,1039922,0,5,0,5
15038,2631,2,9,1,4
34698,12416,2,10,2,8
2842,407600,0,0,0,7
239,1773,1,3,2,8
201745,518882,0,6,1,7
414,2184,0,8,3,9
446431,2844,3,10,0,3
518882,201745,1,7,0,6
24446,24180,1,8,2,7
