161,99,1362,1388
238,115,1236,1196
57,50,831,988
43,3,125,153
104,115,2125,2084
157,23,2944,3473
29,44,210,270
90,42,1503,1120
143,36,265,247
76,201,3251,3475
86,22,3484,3422
33,154,227,213
56,101,457,435
19,91,1260,1251
5,84,1422,1207
119,90,1377,1603
412,122,6325,6774
15,143,1426,1405
113,37,1822,1810
99,22,4511,4712
62,238,4264,3405
32,77,3342,2903
18,112,2846,3133
4,35,1170,1101
75,254,4928,4742
60,266,398,371
61,63,887,1147
122,63,1025,1260
17,57,1071,1073
236,75,4096,4935
74,13,569,382
60,104,1714,1844
23,84,965,797
121,110,644,728
84,102,738,929
107,79,1832,1772
40,4,3458,3322
117,26,222,201
154,20,523,621
103,27,991,973
12,90,1531,1945
268,44,331,401
35,267,1161,1222
201,23,2079,2297
36,80,665,839
22,7,4021,3258
83,23,278,294
429,127,2043,2024
31,223,1058,781
69,40,1989,2341
35,105,2178,2217
254,127,3113,2896
126,42,834,889
96,9,380,395
59,127,2515,2258
45,64,2075,1704
120,127,1586,1487
1,58,3652,3371
78,56,138,132
432,154,479,483
72,113,422,436
58,44,457,491
81,133,1216,1273
44,15,1194,1254
105,15,5444,6056
91,44,430,473
77,81,4731,3925
24,99,2833,3061
101,91,648,787
10,26,161,155
238,412,11285,11090
111,150,3903,3336
43,222,2925,3331
157,74,2060,2309
53,9,3105,2799
39,106,2298,2511
114,41,1008,851
63,96,510,456
33,53,1436,1443
19,6,300,253
238,254,4941,5493
42,429,2096,2214
5,39,3115,2909
133,114,521,613
104,254,9358,9713
29,161,315,400
15,114,2377,2615
113,112,1392,1262
114,267,1159,1017
99,421,2332,2315
62,59,3638,3145
4,112,1948,1861
223,12,924,1086
28,110,646,692
104,412,20503,19120
14,41,753,620
89,104,12597,12192
75,13,1222,977
421,105,3144,3048
99,131,2843,2949
236,24,3098,3196
41,30,226,249
4,150,2094,1811
28,268,882,817
51,85,2207,2424
89,266,1927,1784
112,101,1159,1177
37,42,2013,1673
60,157,1881,1858
23,11,3022,2568
84,11,1233,1258
107,154,745,735
40,81,8954,7112
3,103,496,574
117,77,1469,1757
245,56,544,664
64,119,3614,4520
50,54,1366,1219
127,36,531,464
37,268,1491,1113
150,101,1354,1499
16,121,1011,821
92,268,2628,2129
2,36,363,375
79,54,1944,2222
254,8,4394,4417
59,42,2527,2545
45,19,846,1069
120,44,527,605
31,64,5850,4913
106,3,390,287
92,82,1198,1106
25,31,7144,7183
101,268,1332,1039
11,28,1220,1179
432,55,839,1136
72,30,137,145
58,81,3107,2904
21,75,1907,1991
44,92,1241,1057
7,104,7119,8017
120,266,627,648
105,90,2189,2328
68,106,1106,1110
54,13,1057,905
115,17,714,746
9,412,4949,4208
101,238,1881,1862
266,53,1588,1704
161,201,1287,1123
34,57,671,578
20,4,999,882
111,69,1501,1361
81,114,2346,2827
134,4,432,478
6,51,663,683
67,35,4240,4345
24,238,2971,2842
63,55,1124,1149
33,96,220,242
161,43,491,411
57,106,1670,1874
238,43,1172,1075
80,69,1266,1178
43,75,1119,1179
104,75,6297,6752
29,20,367,443
15,33,1111,1034
143,28,388,340
76,17,2044,2234
62,68,1491,1436
18,150,3798,3898
56,29,313,263
42,16,1220,1445
119,2,957,805
14,154,794,671
53,432,2778,2174
38,44,213,281
203,111,128,110
8,111,4229,4428
85,15,1873,1991
32,117,1839,1517
112,50,863,982
75,134,982,708
61,103,3331,4242
122,119,1541,1689
17,1,3332,3621
3,50,198,218
131,9,1152,1057
117,432,937,830
64,36,1313,1398
245,107,1504,1579
50,75,1412,1386
13,85,417,597
127,75,1810,1963
74,69,585,448
60,16,816,846
121,38,576,513
107,23,1699,2134
79,101,892,907
26,19,282,352
154,76,951,984
12,98,2041,2214
103,35,2793,2585
36,104,1421,1616
55,13,997,730
25,74,2723,3479
102,104,3665,3698
267,5,1954,2014
432,68,675,859
126,98,843,906
35,33,430,441
21,254,2068,2134
7,63,1307,1647
68,63,617,709
54,126,1304,1036
1,98,3342,2901
78,112,303,272
48,3,104,115
134,81,1136,1216
30,6,98,88
91,20,774,751
114,143,511,489
77,25,6021,5741
24,91,1108,1297
238,84,1316,1228
20,143,393,401
57,21,893,1068
43,38,385,329
104,24,4604,4351
157,50,1592,2115
39,50,1232,1335
114,113,1066,1098
86,11,2737,2552
56,74,433,556
19,62,2787,2964
42,101,1262,1301
5,127,1522,1413
